SessionN,Session,Monkey,NS_after_NC,NS_after_NS,NC_after_C,Error_hi,Error_lo,Stop_hi,Stop_lo
60,jou-cmand1DR-20210312,joule,330.225349177976,317.360182384868,319.400267447195,1.12045214026036,0.924913084431473,1.22982134550284,1.00724181929595
61,dar-cmand1DR-20210313,darwin,371.833778320149,370.038402038113,382.51789588502,1.07932033992395,0.994401403849298,1.04106881724663,0.96969967475422
62,dar-cmand1DR-20210314,darwin,395.848106350419,384.659931831753,397.231876195132,1.19466449194709,1.07179090175036,1.12285246604908,0.996153169660723
63,dar-cmand1DR-20210315,darwin,394.294525121714,380.073708122697,390.919748942057,1.16724229769811,1.08483826112203,1.12114677965917,0.986976555695998
64,jou-cmand1DR-20210316,joule,306.473019896754,299.426274840786,317.21702195648,1.06170783897835,1.01311759673145,1.16247707581897,1.15613872729248
65,dar-cmand1DR-20210317,darwin,408.619640838532,390.552073963418,390.138931488723,1.23528284299004,1.03239151467375,1.16497158079941,0.896368441756221
66,jou-cmand1DR-20210319,joule,362.450621085253,362.442575192007,384.92143985837,1.06795885688589,0.971221181709612,1.16245049613506,1.02862533232904
67,dar-cmand1DR-20210321,darwin,374.204739636066,364.586777255187,361.506106231013,1.23444699857991,1.02319386569933,1.15191921766078,0.918767004813762
68,jou-cmand1DR-20210322,joule,342.620620187723,343.811343810362,329.121125095031,1.03936593791062,0.980008927380383,0.976739638454996,0.933383312132676
69,jou-cmand1DR-20210325,joule,359.199009529532,353.667062613718,353.082747835862,0.990509677005857,0.960559801301666,1.03012775735231,1.02305796929062
70,dar-cmand1DR-20210328,darwin,367.456135240573,359.717189473275,353.706908226013,1.33639331626621,1.00637180227666,1.22759278871386,0.86201141195643
71,jou-cmand1DR-20210329,joule,365.481519939924,355.185036252185,359.962586290348,1.01789606980581,1.05196888684086,0.945043620128013,0.992408829040442
72,jou-cmand1DR-20210409,joule,289.308954874674,298.547525681361,299.652246449957,0.986312246066146,0.926350804052566,0.999602701350959,0.929862565897722
73,jou-cmand1DR-20210410,joule,330.158730221402,334.997967272052,329.41413988733,0.970219012553374,0.97638647865744,0.96514926276736,0.975584780662398
74,jou-cmand1DR-20210413,joule,324.82764793902,327.17061017422,320.245261353571,1.02488347149381,0.942328490874389,1.04152698576249,0.941914022055023
75,dar-cmand1DR-20210419,darwin,387.920838923542,377.113045012621,360.932429034011,1.23205365126175,0.962521452551377,1.1659520667252,0.81940842982105
76,dar-cmand1DR-20210420,darwin,378.164121254006,376.105401364649,368.176074660554,1.20582099047035,1.05386265544463,1.14253712329212,0.93514587397054
77,jou-cmand1DR-20210421,joule,301.446972046306,301.287809190529,306.164293289185,0.986290634981713,1.01467169074543,1.08671526126734,0.972553149964184
78,dar-cmand1DR-20210426,darwin,405.989496841043,387.095214059252,380.728042125702,1.19164400620785,1.03139360744913,1.1350975352859,0.908119342953049
79,dar-cmand1DR-20210427,darwin,392.485548091191,385.31400206093,370.589263815629,1.21972569606935,1.02574160782762,1.13278271823185,0.872952506370779
80,jou-cmand1DR-20210428,joule,304.19154276793,304.84938372427,316.293628513813,1.00378587428196,0.957742100903322,1.01997992736995,0.982178029232018
81,jou-cmand1DR-20210430,joule,306.901948249086,304.791683181722,301.516795442218,1.04686500869732,0.867912697334665,1.05554692284321,0.976207588567028
