sessionN,session,monkey,noncanc_hi,noncanc_lo,nostop_hi,nostop_lo,hiFlag,hiDiff,loFlag,loDiff,both,nostop_val,noncanc_val,ssrtDiff,ssrtHigh,ssrtLow
11,dar-cmand1DR-20201126,darwin,240.148544311523,275.988578796387,299.868226051331,354.01725769043,1,-59.7196817398071,1,-78.028678894043,1,-54.1490316390991,-35.8400344848633,11.7964614418286,114.346437055582,102.549975613753
12,dar-cmand1DR-20201127,darwin,228.310942649841,288.030862808228,258.662343025208,334.66362953186,1,-30.3514003753662,1,-46.6327667236328,1,-76.0012865066528,-59.7199201583862,-0.718044475792084,123.814503573374,124.532548049167
13,jou-cmand1DR-20201129,joule,257.003426551819,349.655032157898,262.021064758301,387.317895889282,1,-5.01763820648193,1,-37.6628637313843,1,-125.296831130981,-92.6516056060791,61.427216730534,144.484867342781,83.0576506122466
14,dar-cmand1DR-20201201,darwin,253.993034362793,304.988145828247,301.301717758179,347.013235092163,1,-47.3086833953857,1,-42.025089263916,1,-45.7115173339844,-50.9951114654541,11.1208866064395,134.691869901574,123.570983295135
15,dar-cmand1DR-20201202,darwin,240.967750549316,273.510456085205,281.5181016922,335.994958877563,1,-40.5503511428833,1,-62.4845027923584,1,-54.4768571853638,-32.5427055358887,11.1082369675718,130.8685379341,119.760300966528
16,dar-cmand1DR-20201203,darwin,250.020027160645,304.988145828247,292.495369911194,347.996234893799,1,-42.4753427505493,1,-43.0080890655518,1,-55.500864982605,-54.9681186676025,5.41119173630925,129.316343453826,123.905151717517
17,jou-cmand1DR-20201212,joule,231.997489929199,263.167977333069,229.519367218018,289.505243301392,0,2.47812271118164,1,-26.3372659683228,0,-59.985876083374,-31.1704874038696,48.3014036034293,125.352057922454,77.0506543190248
18,dar-cmand1DR-20201213,darwin,269.987821578979,331.509709358215,328.335285186768,365.342736244202,1,-58.3474636077881,1,-33.8330268859863,1,-37.0074510574341,-61.5218877792358,-10.6095615265861,127.158153019254,137.76771454584
19,dar-cmand1DR-20201214,darwin,287.334203720093,317.317247390747,325.161099433899,356.515884399414,1,-37.8268957138062,1,-39.198637008667,1,-31.3547849655151,-29.9830436706543,-7.75269449478591,128.83409901967,136.586793514456
20,dar-cmand1DR-20201215,darwin,255.160450935364,328.335404396057,309.841990470886,376.012802124023,1,-54.6815395355225,1,-47.6773977279663,1,-66.1708116531372,-73.1749534606934,3.57396340226263,127.655510561807,124.081547159544
21,dar-cmand1DR-20201219,darwin,270.008325576782,328.867793083191,304.005146026611,349.020004272461,1,-33.9968204498291,1,-20.15221118927,1,-45.0148582458496,-58.8594675064087,25.7296440918275,152.295949741414,126.566305649586
22,dar-cmand1DR-20201220,darwin,249.507904052734,322.723865509033,280.023097991943,352.010250091553,1,-30.515193939209,1,-29.2863845825195,1,-71.9871520996094,-73.2159614562988,-12.0673847077844,118.96567438163,131.033059089415
23,dar-cmand1DR-20201221,darwin,252.682447433472,303.022146224976,275.496959686279,357.990264892578,1,-22.8145122528076,1,-54.9681186676025,1,-82.4933052062988,-50.3396987915039,-10.0156422339624,125.918434864908,135.934077098871
24,jou-cmand1DR-20201222,joule,236.994504928589,291.000366210938,236.707925796509,327.638983726501,0,0.286579132080078,1,-36.638617515564,0,-90.9310579299927,-54.0058612823486,6.20608949268286,60.9648604572944,54.7587709646115
25,dar-cmand1DR-20201222,darwin,271.687507629395,362.496018409729,304.988145828247,377.692103385925,1,-33.3006381988525,1,-15.1960849761963,1,-72.7039575576782,-90.8085107803345,0.617361286160303,138.795650299685,138.178289013524
26,jou-cmand1DR-20201223,joule,242.483139038086,319.65184211731,245.002150535583,352.706670761108,1,-2.51901149749756,1,-33.0548286437988,1,-107.704520225525,-77.1687030792236,19.4815527050499,110.618928754159,91.1373760491087
27,jou-cmand1DR-20201224,joule,241.704940795898,326.000452041626,245.69845199585,365.178823471069,1,-3.99351119995117,1,-39.1783714294434,1,-119.48037147522,-84.2955112457275,-33.404018439233,82.2620539536347,115.666072392868
28,jou-cmand1DR-20201227,joule,227.696657180786,323.010444641113,227.28705406189,349.30694103241,0,0.409603118896484,1,-26.2964963912964,0,-122.01988697052,-95.3137874603271,3.34093924332649,109.612776689751,106.271837446425
29,dar-cmand1DR-20201228,darwin,342.015981674194,338.14525604248,353.689670562744,372.285604476929,1,-11.6736888885498,1,-34.1403484344482,1,-18.5959339141846,3.87072563171387,-34.2632407444959,120.440431505616,154.703672250112
